variables_decoder_config_decoder_top_k,global_energy_metrics_local_process_results_ram_energy_process_2,setup_available_gpu_count,variables_sharding_config_fsdp_config_use_orig_params,variables_latency_simulation_delay_min,variables_batching_options_adaptive_batching,global_energy_metrics_local_process_results_ram_power_process_1,compute_metrics_memory_gpu_max_memory_reserved_bytes,global_energy_metrics_local_process_results_total_energy_joules_process_0,global_energy_metrics_global_experiment_results_ram_power_avg,setup_country,variables_config_name,variables_latency_simulation_burst_interval,variables_decoder_config_decoder_top_p,global_energy_metrics_local_process_results_gpu_energy_process_2,global_energy_metrics_per-process_emissions_3,global_energy_metrics_local_process_results_total_energy_joules_process_2,global_energy_metrics_local_process_results_ram_power_process_0,compute_metrics_memory_gpu_current_memory_allocated_bytes,inference_metrics_inference_performance_throughput_queries_per_sec,variables_latency_simulation_delay_max,inference_metrics_inference_performance_total_inference_time_sec,global_energy_metrics_local_process_results_total_energy_kwh_process_3,global_energy_metrics_global_experiment_results_total_energy_kwh,model_architecture_architecture,setup_gpu_model,global_energy_metrics_local_process_results_cpu_energy_process_2,setup_task_type,variables_quantisation_load_in_8bit,global_energy_metrics_local_process_results_cpu_power_process_1,variables_query_rate,global_energy_metrics_local_process_results_total_energy_kwh_process_0,global_energy_metrics_global_experiment_results_total_energy_joules,global_energy_metrics_global_derived_quantities_joules_per_flop,global_energy_metrics_local_process_results_cpu_energy_process_1,inference_metrics_inference_performance_throughput_tokens_per_sec,global_energy_metrics_local_process_results_gpu_power_process_1,inference_metrics_inference_performance_average_latency_ms_per_batch,global_energy_metrics_local_process_results_ram_energy_process_3,global_energy_metrics_local_process_results_cpu_power_process_2,global_energy_metrics_local_process_results_total_energy_joules_process_1,compute_metrics_compute_utilisation_gpu_utilization_percent_1,global_energy_metrics_per-process_emissions_2,setup_python_version,variables_quantisation_cached_flops_for_quantised_models,global_energy_metrics_global_experiment_results_ram_energy_total,global_energy_metrics_global_experiment_results_cpu_energy_total,global_energy_metrics_local_process_results_ram_power_process_3,global_energy_metrics_local_process_results_gpu_energy_process_1,global_energy_metrics_local_process_results_ram_energy_process_1,global_energy_metrics_global_experiment_results_gpu_energy_total,variables_batching_options_adaptive_max_tokens,global_energy_metrics_local_process_results_total_energy_kwh_process_1,global_energy_metrics_local_process_results_cpu_power_process_0,global_energy_metrics_per-process_emissions_0,setup_experiment_id,variables_batching_options_max_batch_size___adaptive_batching,inference_metrics_raw_inference_metrics_total_input_tokens,variables_fp_precision,variables_quantisation_quantization,compute_metrics_compute_utilisation_cpu_memory_usage_bytes,compute_metrics_compute_utilisation_cpu_usage_percent,inference_metrics_raw_inference_metrics_total_generated_tokens,setup_region,variables_batching_options_batch_size___fixed_batching,model_architecture_total_params,compute_metrics_memory_gpu_max_memory_allocated_bytes,global_energy_metrics_local_process_results_gpu_power_process_2,setup_os,global_energy_metrics_experiment_id,variables_backend,inference_metrics_raw_inference_metrics_number_input_prompts,setup_date_time,variables_inference_type,global_energy_metrics_local_process_results_gpu_power_process_0,compute_metrics_compute_utilisation_gpu_utilization_percent_0,variables_sharding_config_sharding_strategy,variables_max_input_tokens,global_energy_metrics_local_process_results_total_energy_kwh_process_2,variables_latency_simulation_simulate,setup_model,global_energy_metrics_global_derived_quantities_flops_per_joule,compute_metrics_compute_utilisation_gpu_utilization_percent_2,global_energy_metrics_local_process_results_ram_energy_process_0,variables_accelerate_config_num_processes,global_energy_metrics_local_process_results_gpu_energy_process_3,global_energy_metrics_per-process_emissions_1,variables_latency_simulation_burst_size,variables_sharding_config_fsdp_config_cpu_offload,compute_metrics_compute_utilisation_gpu_utilization_percent_3,global_energy_metrics_local_process_results_gpu_power_process_3,compute_metrics_flops,setup_available_cpu_count,variables_accelerate_config_distributed_type,global_energy_metrics_local_process_results_gpu_energy_process_0,global_energy_metrics_global_derived_quantities_tokens_per_joule,variables_latency_simulation_simulate_burst,compute_metrics_memory_gpu_current_memory_reserved_bytes,global_energy_metrics_local_process_results_cpu_power_process_3,setup_cpu_model,setup_is_encoder_decoder,variables_decoder_config_decoder_temperature,global_energy_metrics_global_derived_quantities_joules_per_token,global_energy_metrics_local_process_results_cpu_energy_process_3,global_energy_metrics_global_experiment_results_gpu_power_avg,global_energy_metrics_local_process_results_ram_power_process_2,variables_max_output_tokens,global_energy_metrics_global_experiment_results_cpu_power_avg,variables_decode_token_to_text,variables_decoder_config_decoding_mode,variables_number_input_prompts,global_energy_metrics_local_process_results_cpu_energy_process_0,global_energy_metrics_local_process_results_total_energy_joules_process_3,variables_quantisation_load_in_4bit
0,NA,1,False,0.01,False,NA,10435428352,16894.68655746709,0.661259651184082,Germany,R2_Low_Latency_Chatbot_Deployment,0.0,0.9,NA,NA,NA,0.661259651184082,9905836032,1.8875834334007224,0.05,67.81157205294585,NA,0.0046929684881853026,Unknown (no config attribute),4 x NVIDIA A100-PCIE-40GB,NA,text_generation,False,NA,1.0,0.0046929684881853026,16894.68655746709,8.343622325814913e-10,NA,229.9312569811255,NA,2119.1116266545578,NA,NA,NA,0.0,NA,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",16949970993152,1.1138508209407709e-05,0.0018967691408179235,NA,NA,NA,0.002785060839157971,0,NA,112.5,0.001787786345574191,0442,0,16384,torch.float32,False,1897975808,1.1,15592,saxony,4,1235814400,9905836032,NA,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0442,pytorch,128,"April 16, 2025 at 09:30:16 AM",pure_generative,160.88880963052873,11.0,NO_SHARD,128,NA,True,meta-llama/Llama-3.2-1B,1198520212.145785,0.0,1.1138508209407709e-05,1,NA,NA,0,False,0.0,NA,20248623316992,128,DistributedType.MULTI_GPU,0.002785060839157971,0.9228937125861427,False,10435428352,NA,AMD EPYC 7742 64-Core Processor,False,1.0,1.0835483938857804,NA,160.88880963052873,NA,128,112.5,True,top_p,128,0.0018967691408179235,NA,False
50,6.553947156065152e-06,4,False,0.5,False,0.7350926399230957,3024093184,12504.594051482893,0.7269655466079712,Germany,R3_Balanced_Enterprise_Service,4.0,0.0,0.002548634816682771,0.0013044248873849329,12342.59018076862,0.700631618499756,2039428096,4.150371692134639,1.5,30.84061127406312,0.0034241367302400125,0.013705004021979751,Unknown (no config attribute),4 x NVIDIA A100-PCIE-40GB,0.0008733085085968925,text_generation,True,112.5,1.0,0.003473498347634137,49338.0144791271,2.9108022957124985e-09,0.0008424974541212577,531.2475765932338,93.37944621590394,7710.15281851578,6.155037501781725e-06,112.5,12163.938018011548,100.0,0.0013060860359343906,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",16949970993152,2.4272306582651418e-05,0.0034190296171545927,0.7326221466064453,0.002531093413762342,5.28080378627525e-06,0.010261702098242509,0,0.0033788716716698745,112.5,0.0012871811633226387,0443,0,16384,torch.float16,True,2006937600,3.2,16384,saxony,32,1235814400,2039428096,346.1412439347654,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0443,pytorch,128,"April 16, 2025 at 09:31:31 AM",pure_generative,302.61368260629615,0.0,NO_SHARD,128,0.003428497272435728,True,meta-llama/Llama-3.2-1B,343547894.50075746,100.0,6.282518138529292e-06,4,0.002594442075550596,0.0013232291955312244,5,False,100.0,305.6391335301352,16949970993152,128,DistributedType.MULTI_GPU,0.0025875317922468,0.3320765979938532,True,3024093184,112.5,AMD EPYC 7742 64-Core Processor,False,1.0,3.0113534227982854,0.0008235396171876346,261.94337657177516,0.7395157814025879,128,112.5,True,top_k,128,0.0008796840372488078,12326.892228864044,False
0,1.245090436034586e-06,4,False,0,False,0.6791524887084961,7029653504,4691.517199917221,0.6748695373535156,Germany,A5_Parallel_Overdrive,0.0,0.0,0.0011392050780294483,0.00047680319911514086,4741.7311292607565,0.6718111038208008,4963390464,19.762519585905455,0,6.476906926953234,0.0012516162202786214,0.005123795952247611,Unknown (no config attribute),4 x NVIDIA A100-PCIE-40GB,0.0001766973674402834,text_generation,False,112.5,1.0,0.0013031992221992279,18445.6654280914,9.109589891285293e-10,0.00013748372612462845,2529.6025069958982,868.8401850842397,3238.453463476617,1.0362656745226373e-06,112.5,4506.598705910388,100.0,0.0004964537436967959,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",16949970993152,4.352872728220227e-06,0.0005946255707840464,0.6737194061279297,0.00111331727954056,1.031968198808262e-06,0.004524817508735346,0,0.0012518329738639966,112.5,0.00047688577139348953,0444,0,16384,torch.float16,False,1927262208,3.6,16384,saxony,64,1235814400,4963390464,63.07747828676721,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0444,pytorch,128,"April 16, 2025 at 09:32:17 AM",pure_generative,1746.672977597047,0.0,NO_SHARD,128,0.0013171475359057658,False,meta-llama/Llama-3.2-1B,1097744258.4508133,100.0,1.0395484188547416e-06,4,0.00111331727954056,0.0005017673538033015,0,False,100.0,901.5967430474234,20248623316992,128,DistributedType.MULTI_GPU,0.0011589778716247778,0.8882303576345023,False,7029653504,112.5,AMD EPYC 7742 64-Core Processor,False,1.0,1.1258340715387818,0.00013726267506353906,895.0468460038693,0.674795150756836,128,112.5,True,greedy,128,0.0001431818021555955,4505.818393003037,False
0,NA,1,False,0,False,NA,2751463424,8913.541883218413,0.6892361640930176,Germany,default,0.0,0.0,NA,NA,NA,0.6892361640930176,2039254528,2.578885706174882,0,49.6338397989166,NA,0.0024759838564495595,Unknown (no config attribute),4 x NVIDIA A100-PCIE-40GB,NA,text_generation,True,NA,1.0,0.0024759838564495595,8913.541883218413,5.258735774131765e-10,NA,330.0973703903849,NA,6204.229974864575,NA,NA,NA,0.0,NA,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",16949970993152,8.427432393539506e-06,0.001418401973622167,NA,NA,NA,0.0010491544504338535,0,NA,112.5,0.0009432260501144597,0445,0,16384,torch.float16,True,1974308864,1.2,16384,saxony,16,1235814400,2039254528,NA,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0445,pytorch,128,"April 16, 2025 at 09:33:39 AM",pure_generative,1000.4392545221945,0.0,NO_SHARD,128,NA,False,meta-llama/Llama-3.2-1B,1901597727.9541175,0.0,8.427432393539506e-06,1,NA,NA,0,False,0.0,NA,16949970993152,128,DistributedType.MULTI_GPU,0.0010491544504338535,1.838102093943853,False,2751463424,NA,AMD EPYC 7742 64-Core Processor,False,1.0,0.5440394215831551,NA,1000.4392545221945,NA,128,112.5,True,greedy,128,0.001418401973622167,NA,False
50,NA,1,False,0,False,NA,2850029568,2131.605168863144,0.6699328422546387,Germany,A3_Quantisation_Gaming,0.0,0.0,NA,NA,NA,0.6699328422546387,1609970688,16.1681481894315,0,7.916800273000263,NA,0.000592112546906429,Unknown (no config attribute),4 x NVIDIA A100-PCIE-40GB,NA,text_generation,False,NA,1.0,0.000592112546906429,2131.605168863144,1.2575863225514306e-10,NA,2069.522968247232,NA,3958.4001365001313,NA,NA,NA,0.0,NA,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",16949970993152,1.3943774325976654e-06,0.00022756926784313691,NA,NA,NA,0.00036314890163069435,0,NA,112.5,0.00022556527474400413,0446,0,16384,torch.float16,True,1919307776,0.9,16384,saxony,64,749275136,1609970688,NA,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0446,pytorch,128,"April 16, 2025 at 09:34:21 AM",pure_generative,180.73405173703352,0.0,NO_SHARD,128,NA,False,meta-llama/Llama-3.2-1B,7951740425.8275385,0.0,1.3943774325976654e-06,1,NA,NA,0,False,0.0,NA,16949970993152,128,DistributedType.MULTI_GPU,0.00036314890163069435,7.686226435985859,False,2850029568,NA,AMD EPYC 7742 64-Core Processor,False,1.0,0.13010285454486964,NA,180.73405173703352,NA,128,112.5,True,top_k,128,0.00022756926784313691,NA,True
0,NA,1,False,0.2,False,NA,2766143488,100994.61218497866,0.6862235069274902,Germany,R5_Real_Time_Mobile_Inference,5.0,0.9,NA,NA,NA,0.6862235069274902,2038922240,0.20223019083718277,0.6,632.9420917327516,NA,0.02805405894027185,Unknown (no config attribute),4 x NVIDIA A100-PCIE-40GB,NA,text_generation,True,NA,1.0,0.02805405894027185,100994.61218497866,5.9583943964141144e-09,NA,19.134451884602505,NA,4944.860091662122,NA,NA,NA,0.0,NA,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",16949970993152,0.00010354213640189434,0.01833473855569717,NA,NA,NA,0.009615778248172724,0,NA,112.5,0.010687193753296562,0447,0,16384,torch.float16,True,1965412352,1.2,12111,saxony,1,1235814400,2038922240,NA,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0447,pytorch,128,"April 16, 2025 at 09:45:29 AM",pure_generative,25.21011911896497,0.0,NO_SHARD,128,NA,True,meta-llama/Llama-3.2-1B,167830447.8471282,0.0,0.00010354213640189434,1,NA,NA,8,False,0.0,NA,16949970993152,128,DistributedType.MULTI_GPU,0.009615778248172724,0.11991728804124581,True,2766143488,NA,AMD EPYC 7742 64-Core Processor,False,1.0,8.339081181155864,NA,25.21011911896497,NA,128,112.5,True,top_p,128,0.01833473855569717,NA,False
0,1.8564581527020024e-06,4,False,0,False,0.6995015144348145,4636803072,5932.730893714781,0.6938170194625854,Germany,A1_Max_Throughput_Exploit,0.0,0.0,0.001296368537093251,0.000627804044630716,5922.058777175446,0.667771339416504,2039678464,14.508308293912393,0,8.822531022015028,0.0016452267037374397,0.0065862197516703925,Unknown (no config attribute),4 x NVIDIA A100-PCIE-40GB,0.0003467913317472267,text_generation,True,112.5,1.0,0.0016479808038096615,23710.391106013412,1.3988455269683178e-09,0.0003474019765653793,1857.0634616207863,612.5787005260511,8822.531022015028,1.8571214222016635e-06,112.5,5932.785301668402,100.0,0.0006267491127887777,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",16949970993152,7.326296494305656e-06,0.0013903465265648267,0.7054896354675293,0.0012987552056697993,1.838734894932872e-06,0.0051885469286112595,0,0.0016479959171301116,112.5,0.0006266689697680517,0448,0,16384,torch.float16,True,1913118720,3.6,16384,saxony,256,1235814400,2039678464,615.8340550283847,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0448,pytorch,128,"April 16, 2025 at 09:46:22 AM",pure_generative,608.5960295174214,0.0,NO_SHARD,128,0.0016450163269931795,False,meta-llama/Llama-3.2-1B,714875217.2566719,100.0,1.7739820244691185e-06,4,0.001296368537093251,0.0006277982872112906,0,False,100.0,635.2336633021536,16949970993152,128,DistributedType.MULTI_GPU,0.0012970546487549584,0.6910050503487773,False,4636803072,112.5,AMD EPYC 7742 64-Core Processor,False,1.0,1.447167425904139,0.00034700104522198674,618.0606120935026,0.7025055885314941,128,112.5,True,greedy,128,0.00034915217303023384,5922.816133454783,False
0,NA,2,False,0,False,0.6854109764099121,4001366016,2781.203285136451,0.6711709499359131,Germany,A2_Precision_Minimalist,0.0,0.0,NA,NA,NA,0.6569309234619141,1609970688,19.540547643302588,0,6.550481713027693,NA,0.0013945548424323206,Unknown (no config attribute),4 x NVIDIA A100-PCIE-40GB,NA,text_generation,False,112.5,1.0,0.0007725564680934586,5020.397432756355,2.9618914597462484e-10,0.00011332335446968502,2501.1900983427313,488.75462239358245,6550.481713027693,NA,NA,2239.1941476199036,100.0,NA,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",16949970993152,1.9186504929607144e-06,0.00026575779043741933,NA,0.0005077829062258843,8.921136432927734e-07,0.0011268784015019406,0,0.0006219983743388621,112.5,0.0002943053865202031,0449,0,16384,torch.float16,True,1882079232,2.0,16384,saxony,128,749275136,1609970688,NA,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0449,pytorch,128,"April 16, 2025 at 09:47:11 AM",pure_generative,813.1643226810584,0.0,NO_SHARD,128,NA,False,meta-llama/Llama-3.2-1B,3376220950.6680307,0.0,1.0265368496679412e-06,2,NA,0.00023695028070438954,0,False,0.0,NA,16949970993152,128,DistributedType.MULTI_GPU,0.0006190954952760563,3.263486650100662,False,4001366016,NA,AMD EPYC 7742 64-Core Processor,False,1.0,0.306420741745383,NA,650.9594725373204,NA,128,112.5,True,greedy,128,0.0001524344359677343,NA,True
0,1.6271225421892948e-06,4,False,0.01,False,0.6802582740783691,7029653504,6578.66090790176,0.6782037019729614,Germany,R6_Medium_Scale_Language_Model_Serving,0.0,0.0,0.0015053106486933032,0.0006977297011192452,6593.586885494902,0.6725907325744629,4963390464,12.611329963770055,0.1,10.149603599915281,0.0018311297878045936,0.007326893082883047,Unknown (no config attribute),4 x NVIDIA A100-PCIE-40GB,0.0003246141414019803,text_generation,False,112.5,1.0,0.001827405807750489,26376.815098378967,1.3026473299172089e-09,0.0003258183600664779,1614.250235362567,512.7715934242436,2537.4008999788202,1.6279687032056357e-06,112.5,6612.500068885766,100.0,0.0006997310836783425,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",16949970993152,6.493704719765893e-06,0.001295747058438792,0.6803855895996094,0.0015093475963672276,1.639618256785003e-06,0.006024652319724488,0,0.0018368055746904907,112.5,0.0006961502424625488,0450,0,16384,torch.float16,False,1929367552,3.2,16384,saxony,32,1235814400,4963390464,566.5978951382236,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0450,pytorch,128,"April 16, 2025 at 09:48:00 AM",pure_generative,468.1498913140015,0.0,NO_SHARD,128,0.0018315519126374728,True,meta-llama/Llama-3.2-1B,767667485.3074439,100.0,1.5989952175859596e-06,4,0.0015053106486933032,0.0006975688926641599,0,False,100.0,536.4754171379233,20248623316992,128,DistributedType.MULTI_GPU,0.0015046834259706543,0.6211515658312707,False,7029653504,112.5,AMD EPYC 7742 64-Core Processor,False,1.0,1.6099130309069194,0.00032419117040808493,520.998699253598,0.6795802116394043,128,112.5,True,greedy,128,0.00032112338656224893,6592.067236096537,False
0,NA,1,False,0.05,False,NA,6727663616,7978.017535002248,0.6742844581604004,Germany,R4_High_Load_Cloud_API_Deployment,2.0,0.0,NA,NA,NA,0.6742844581604004,4963382784,3.0011910926098415,0.2,42.6497334059095,NA,0.002216115981945069,Unknown (no config attribute),4 x NVIDIA A100-PCIE-40GB,NA,text_generation,False,NA,1.0,0.002216115981945069,7978.017535002248,3.9400296060164003e-10,NA,360.3305055564691,NA,2665.608337869344,NA,NA,NA,0.0,NA,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",16949970993152,7.1259265215985285e-06,0.0012112509238995698,NA,NA,NA,0.0009977391315239004,0,NA,112.5,0.000844229383321974,0451,0,16384,torch.float16,False,1933840384,0.9,15368,saxony,8,1235814400,4963382784,NA,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0451,pytorch,128,"April 16, 2025 at 09:49:14 AM",pure_generative,94.54588889016779,0.0,NO_SHARD,128,NA,True,meta-llama/Llama-3.2-1B,2538051994.5154886,0.0,7.1259265215985285e-06,1,NA,NA,5,False,0.0,NA,20248623316992,128,DistributedType.MULTI_GPU,0.0009977391315239004,1.9262930837862178,True,6727663616,NA,AMD EPYC 7742 64-Core Processor,False,1.0,0.5191318021214373,NA,94.54588889016779,NA,128,112.5,True,greedy,128,0.0012112509238995698,NA,False
